"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20210527","우이신설선","4.19민주묘지","2711","2708","20210530"
"20210527","경원선","가능","6327","6127","20210530"
"20210527","8호선","가락시장","7602","8441","20210530"
"20210527","3호선","가락시장","8696","8498","20210530"
"20210527","경부선","가산디지털단지","18780","21785","20210530"
"20210527","7호선","가산디지털단지","48226","49203","20210530"
"20210527","9호선","가양","20066","19455","20210530"
"20210527","우이신설선","가오리","3945","3943","20210530"
"20210527","경의선","가좌","5374","4911","20210530"
"20210527","분당선","가천대","8452","9347","20210530"
"20210527","경춘선","가평","1298","1330","20210530"
"20210527","경인선","간석","5831","5622","20210530"
"20210527","경춘선","갈매","3230","2701","20210530"
"20210527","2호선","강남","81517","80238","20210530"
"20210527","분당선","강남구청","9872","11399","20210530"
"20210527","7호선","강남구청","16505","18209","20210530"
"20210527","5호선","강동","18596","17550","20210530"
"20210527","8호선","강동구청","10488","10888","20210530"
"20210527","경의선","강매","3180","2795","20210530"
"20210527","2호선","강변(동서울터미널)","28668","27329","20210530"
"20210527","5호선","강일","2935","3198","20210530"
"20210527","경춘선","강촌","373","354","20210530"
"20210527","5호선","개롱","6538","6846","20210530"
"20210527","경인선","개봉","21132","21371","20210530"
"20210527","분당선","개포동","3690","3854","20210530"
"20210527","9호선","개화","2514","1724","20210530"
"20210527","5호선","개화산","5396","5037","20210530"
"20210527","5호선","거여","8497","8058","20210530"
"20210527","7호선","건대입구","11433","11752","20210530"
"20210527","2호선","건대입구","31875","34191","20210530"
"20210527","공항철도 1호선","검암","6432","6524","20210530"
"20210527","경강선","경기광주","6846","6556","20210530"
"20210527","과천선","경마공원","1257","1201","20210530"
"20210527","3호선","경복궁(정부서울청사)","18623","18315","20210530"
"20210527","3호선","경찰병원","7324","7416","20210530"
"20210527","공항철도 1호선","계양","9344","8481","20210530"
"20210527","5호선","고덕","9217","9184","20210530"
"20210527","6호선","고려대(종암)","7683","7421","20210530"
"20210527","수인선","고색","3843","3660","20210530"
"20210527","3호선","고속터미널","34753","33670","20210530"
"20210527","7호선","고속터미널","14434","12426","20210530"
"20210527","9호선","고속터미널","11312","13937","20210530"
"20210527","안산선","고잔","8661","8382","20210530"
"20210527","경의선","곡산","552","557","20210530"
"20210527","경강선","곤지암","1959","1944","20210530"
"20210527","6호선","공덕","18546","17685","20210530"
"20210527","공항철도 1호선","공덕","2175","2751","20210530"
"20210527","경의선","공덕","3486","3057","20210530"
"20210527","5호선","공덕","14451","15457","20210530"
"20210527","7호선","공릉(서울과학기술대)","11603","11444","20210530"
"20210527","9호선","공항시장","2916","3128","20210530"
"20210527","공항철도 1호선","공항화물청사","2295","2497","20210530"
"20210527","과천선","과천","5437","4979","20210530"
"20210527","경부선","관악","7071","6555","20210530"
"20210527","5호선","광나루(장신대)","12629","11609","20210530"
"20210527","경부선","광명","3119","2732","20210530"
"20210527","7호선","광명사거리","21902","21307","20210530"
"20210527","경원선","광운대","8659","8177","20210530"
"20210527","5호선","광화문(세종문화회관)","29658","31554","20210530"
"20210527","6호선","광흥창(서강)","8903","8407","20210530"
"20210527","3호선","교대(법원.검찰청)","14703","9406","20210530"
"20210527","2호선","교대(법원.검찰청)","33973","38904","20210530"
"20210527","경부선","구로","18806","19097","20210530"
"20210527","2호선","구로디지털단지","60966","61109","20210530"
"20210527","분당선","구룡","1942","1925","20210530"
"20210527","중앙선","구리","12899","13049","20210530"
"20210527","9호선","구반포","2726","2818","20210530"
"20210527","6호선","구산","7454","5461","20210530"
"20210527","분당선","구성","4724","4994","20210530"
"20210527","2호선","구의(광진구청)","23329","22799","20210530"
"20210527","경인선","구일","6435","6444","20210530"
"20210527","3호선","구파발","19805","18476","20210530"
"20210527","중앙선","국수","680","661","20210530"
"20210527","9호선","국회의사당","15812","16621","20210530"
"20210527","7호선","군자(능동)","14778","11905","20210530"
"20210527","5호선","군자(능동)","11185","12241","20210530"
"20210527","경부선","군포","7730","7548","20210530"
"20210527","경춘선","굴봉산","99","109","20210530"
"20210527","7호선","굴포천","8963","9462","20210530"
"20210527","5호선","굽은다리(강동구민회관앞)","9521","9053","20210530"
"20210527","경춘선","금곡","1494","1444","20210530"
"20210527","경의선","금릉","4508","4405","20210530"
"20210527","경부선","금정","25765","26412","20210530"
"20210527","경부선","금천구청","11662","11607","20210530"
"20210527","경의선","금촌","5848","5866","20210530"
"20210527","3호선","금호","7959","7471","20210530"
"20210527","분당선","기흥","9420","8637","20210530"
"20210527","5호선","길동","7895","8214","20210530"
"20210527","4호선","길음","20101","19458","20210530"
"20210527","경춘선","김유정","190","207","20210530"
"20210527","5호선","김포공항","6622","6514","20210530"
"20210527","공항철도 1호선","김포공항","10846","6604","20210530"
"20210527","9호선","김포공항","7185","11588","20210530"
"20210527","5호선","까치산","28731","27486","20210530"
